"event_id","p_home","p_draw","p_away","outcome","entropy"
"1618323348","0.282634","0.275428","0.441937","draw","1.548246"
"1618329848","0.182992","0.240802","0.576206","away","1.401266"
"1618329849","0.714063","0.180923","0.105014","home","1.134639"
"1618333067","0.231222","0.232331","0.536446","away","1.459716"
"1618898075","0.249287","0.257201","0.493512","home","1.506277"
"1618899360","0.210586","0.263805","0.525610","away","1.468182"
"1618899361","0.306189","0.284702","0.409109","away","1.566357"
"1618899362","0.384869","0.261051","0.354080","home","1.566351"
"1618899363","0.410940","0.275900","0.313160","home","1.564350"
"1618899364","0.299185","0.348513","0.352301","draw","1.581093"
"1618899365","0.533944","0.288107","0.177949","home","1.443768"
"1618899366","0.648462","0.192351","0.159187","home","1.284713"
"1618899367","0.819924","0.118411","0.061665","home","0.847197"
"1618899368","0.442369","0.268843","0.288787","home","1.547511"
"1618899369","0.381434","0.268690","0.349876","draw","1.569906"
"1618899372","0.355492","0.313199","0.331309","away","1.583018"
"1618899373","0.286895","0.260744","0.452361","away","1.540180"
"1618899374","0.469533","0.268490","0.261977","home","1.527729"
"1618899375","0.143986","0.179915","0.676099","draw","1.229594"
"1618899376","0.350457","0.322606","0.326937","away","1.583998"
"1618901352","0.448202","0.296524","0.255275","home","1.541816"
"1618901353","0.515831","0.251118","0.233052","away","1.482960"
"1618917100","0.557821","0.246264","0.195915","draw","1.428366"
"1618917101","0.673289","0.196239","0.130472","away","1.228627"
"1618917102","0.142926","0.220590","0.636484","away","1.297018"
"1618917103","0.255299","0.260775","0.483926","away","1.515287"
"1618917104","0.395245","0.313646","0.291109","home","1.572250"
"1618917107","0.313009","0.314019","0.372972","away","1.579954"
"1618917109","0.264098","0.311500","0.424402","away","1.556225"
"1618917110","0.575904","0.254547","0.169549","away","1.395036"
"1618917111","0.527661","0.252181","0.220158","home","1.468563"
"1618917114","0.821865","0.124125","0.054010","home","0.833657"
"1618917115","0.413782","0.321983","0.264236","away","1.560552"
"1618917116","0.271455","0.249822","0.478723","away","1.519322"
"1618917117","0.456404","0.307639","0.235956","away","1.531266"
"1618917118","0.248246","0.294887","0.456867","draw","1.534866"
"1618917120","0.471390","0.286449","0.242160","home","1.523567"
"1618917121","0.268078","0.306978","0.424944","draw","1.556840"
"1618917122","0.689310","0.191612","0.119078","home","1.192330"
"1618917123","0.187086","0.272701","0.540213","away","1.443548"
"1618918937","0.653427","0.218995","0.127578","home","1.259941"
"1618918938","0.474412","0.271660","0.253928","home","1.523267"
"1618918939","0.570991","0.239534","0.189475","home","1.410196"
"1618918940","0.315186","0.287294","0.397520","draw","1.571029"
"1618918941","0.241791","0.281739","0.476470","draw","1.519731"
"1618918942","0.160618","0.268589","0.570792","away","1.394894"
"1618918943","0.347456","0.272514","0.380030","away","1.571483"
"1618918944","0.476432","0.295417","0.228151","draw","1.515713"
"1618918945","0.529548","0.242060","0.228391","draw","1.467644"
"1618918947","0.657401","0.199529","0.143070","draw","1.263141"
"1618918948","0.686702","0.181110","0.132188","home","1.204708"
"1618921190","0.342851","0.313086","0.344063","away","1.583616"
